Country,Malaria,Pertussis
A.R. Murugadoss,2411071,7.3
Aamir Khan,1204660,8.5
Aaron Blaise,85336277,6.8
Aaron Norris,39820650,4.7
Aaron Schneider,9176553,7.1
Aaron Seltzer,48548426,2.7
Abbas Kiarostami,1905480,7.74
Abdellatif Kechiche,2199675,7.8
Abdul Malik Abbott,2099719,4.4
Abel Ferrara,7868085,6.2
Adam Brooks,31973840,7.2
Adam McKay,650803028,7
Adam Resnick,3662459,5.1
Adam Rifkin,12226444,6.3
Adam Shankman,697495080,6
Adam Simon,3381934,4.8
Adam Wingard,39221281,5.8
Adrian Lyne,263259793,6.4
Alan J. Pakula,100768056,6.6
Michael Bay,2196161642,6.6
James Cameron,1909926983,7.9
Steven Spielberg,2846834582,7.4
Christopher Nolan,1790940073,8.3
Woody Allen,391685585,7
Peter Jackson,2134382069,7.8
David Yates,1631639095,7.4
Robert Zemeckis,1788742138,7.2
Tim Burton,1697665848,7
Chris Columbus,1750258834,6.5
Ridley Scott,1432439757,6.9
